-1:0.8650,0.1512,0.8626,0.7855,0.1829
+1:0.0584,0.5711,0.5231,0.5174,0.0390
-1:0.0582,0.1122,0.2324,0.8980,0.7112
+1:0.1587,0.9978,0.8150,0.5323,0.2852
-1:0.8227,0.0812,0.9618,0.8364,0.0436
+1:0.9933,0.0944,0.1533,0.2848,0.6593
-1:0.9237,0.8861,0.6864,0.3630,0.0220
+1:0.0330,0.1247,0.6481,0.5611,0.5350
-1:0.2350,0.5714,0.6902,0.2304,0.1054
+1:0.5204,0.8179,0.1557,0.2522,0.0237
-1:0.8975,0.1485,0.2479,0.7417,0.0691
+1:0.0684,0.1446,0.6146,0.1327,0.1004
-1:0.6282,0.7389,0.1124,0.6511,0.7169
+1:0.6299,0.1338,0.6659,0.2534,0.7289
-1:0.9269,0.0670,0.8182,0.3852,0.6535
+1:0.0730,0.1521,0.6083,0.0742,0.3211
-1:0.6166,0.9771,0.9521,0.6226,0.8878
+1:0.7798,0.6795,0.6079,0.3795,0.7708
-1:0.7129,0.3613,0.6141,0.5912,0.4893
+1:0.3647,0.6574,0.7455,0.5493,0.2365
-1:0.8770,0.0059,0.4940,0.6203,0.5830
+1:0.4845,0.0414,0.8576,0.2277,0.4938
-1:0.8280,0.1419,0.8999,0.9772,0.2539
+1:0.6121,0.0982,0.9782,0.1870,0.7318
-1:0.0740,0.5837,0.7151,0.7009,0.2426
+1:0.0066,0.2892,0.9606,0.3470,0.4272
-1:0.3593,0.6962,0.4083,0.6700,0.0523
+1:0.2385,0.8238,0.1910,0.2572,0.8571
-1:0.6261,0.3811,0.2280,0.5384,0.4460
+1:0.3420,0.5991,0.7166,0.2587,0.9275
-1:0.3980,0.9983,0.1510,0.1189,0.6145
+1:0.2571,0.0328,0.4026,0.1175,0.1024
-1:0.6595,0.1236,0.9674,0.8441,0.0329
+1:0.9698,0.1206,0.6092,0.6485,0.9774
-1:0.0601,0.2377,0.2056,0.3076,0.4317
+1:0.0187,0.7745,0.5235,0.8252,0.9609
-1:0.7276,0.0462,0.3210,0.7416,0.8839
+1:0.1203,0.6969,0.5222,0.5620,0.9399
-1:0.7350,0.5999,0.4138,0.2801,0.7343
+1:0.9836,0.8850,0.2198,0.9390,0.3865
-1:0.8219,0.8015,0.2093,0.7245,0.8815
+1:0.6996,0.9446,0.5650,0.6528,0.0098
-1:0.3632,0.2910,0.0971,0.6917,0.0558
+1:0.7722,0.3329,0.2487,0.8990,0.8750
-1:0.9781,0.9896,0.7787,0.3745,0.3584
+1:0.4623,0.4823,0.9838,0.3713,0.0975
-1:0.4881,0.4326,0.8738,0.3356,0.1218
+1:0.0154,0.6014,0.0104,0.2638,0.4446
-1:0.0027,0.4860,0.3622,0.8273,0.7834
+1:0.6642,0.7721,0.9204,0.7653,0.0329
-1:0.3194,0.2659,0.9383,0.3431,0.7121
+1:0.6426,0.1556,0.5382,0.8974,0.5226
-1:0.4926,0.9599,0.5202,0.3392,0.1243
+1:0.9142,0.6223,0.4457,0.6244,0.5598
-1:0.8604,0.6796,0.8979,0.9836,0.9495
+1:0.8692,0.6245,0.3838,0.7205,0.6011
-1:0.8060,0.9371,0.6887,0.5232,0.6518
+1:0.5460,0.8807,0.0329,0.5172,0.9770
-1:0.6948,0.0433,0.1696,0.6690,0.5148
+1:0.9083,0.1345,0.6523,0.6171,0.0766
-1:0.8943,0.7280,0.3151,0.6102,0.6663
+1:0.6380,0.0552,0.7757,0.4487,0.3200
-1:0.2642,0.4613,0.3633,0.9744,0.5427
+1:0.8089,0.3596,0.6606,0.4684,0.6361
-1:0.1110,0.1674,0.5527,0.3664,0.2348
+1:0.4226,0.2470,0.3102,0.0338,0.5089
-1:0.6665,0.3444,0.2150,0.6759,0.3845
+1:0.6102,0.2734,0.6253,0.9389,0.1693
-1:0.9271,0.7529,0.8340,0.9807,0.6652
+1:0.7333,0.4028,0.7618,0.0161,0.0266
-1:0.8583,0.8607,0.9061,0.9577,0.4572
+1:0.2566,0.3824,0.8827,0.8411,0.9317
-1:0.8841,0.1253,0.8754,0.0314,0.4927
+1:0.6217,0.4423,0.7859,0.1660,0.4148
-1:0.6421,0.7054,0.0883,0.0431,0.8572
+1:0.6642,0.1529,0.5317,0.5285,0.4562
-1:0.0132,0.2796,0.2138,0.1853,0.6045
+1:0.4722,0.1263,0.5963,0.8548,0.6796
-1:0.4571,0.7756,0.6668,0.0171,0.3516
+1:0.1427,0.6377,0.2711,0.2111,0.3860
-1:0.3993,0.4332,0.5543,0.5818,0.5006
+1:0.0506,0.4185,0.3198,0.2876,0.8996
-1:0.0593,0.6577,0.9669,0.3422,0.4204
+1:0.7794,0.7284,0.0154,0.7127,0.4146
-1:0.1394,0.2319,0.3310,0.2057,0.7828
+1:0.3836,0.5521,0.8809,0.6162,0.2928
-1:0.4537,0.0309,0.1143,0.9539,0.0548
+1:0.7753,0.1682,0.4052,0.6356,0.8201
-1:0.8410,0.1095,0.6693,0.8082,0.3709
+1:0.4266,0.2359,0.5868,0.5890,0.6653
-1:0.0446,0.3394,0.3202,0.9002,0.3144
+1:0.6694,0.0047,0.0068,0.0031,0.4926
-1:0.5299,0.8151,0.6722,0.0584,0.9338
+1:0.0048,0.1593,0.7402,0.8475,0.6015
-1:0.3940,0.0427,0.5563,0.4082,0.4755
+1:0.2675,0.7009,0.1390,0.4812,0.6077
-1:0.8662,0.8180,0.8514,0.7664,0.4697
+1:0.4536,0.9549,0.4888,0.3169,0.8637
-1:0.2631,0.8975,0.8224,0.0890,0.0915
+1:0.3870,0.1617,0.9279,0.8525,0.7084
-1:0.1918,0.1026,0.6046,0.1752,0.9434
+1:0.9821,0.4887,0.5651,0.5798,0.7554
-1:0.3447,0.4881,0.5381,0.9607,0.2816
+1:0.1805,0.7842,0.3694,0.0566,0.1538
-1:0.2481,0.8050,0.0670,0.9715,0.7687
+1:0.4330,0.7518,0.5561,0.6106,0.5347
-1:0.8136,0.0174,0.4809,0.0591,0.8177
+1:0.4476,0.6058,0.0030,0.4972,0.3833
-1:0.4552,0.4864,0.0599,0.1476,0.6539
+1:0.2666,0.3654,0.6700,0.9881,0.4165
-1:0.8772,0.4229,0.4621,0.4922,0.2911
+1:0.0302,0.1753,0.5658,0.7733,0.6787
-1:0.6835,0.7242,0.5245,0.6981,0.1603
+1:0.7676,0.8296,0.7004,0.2045,0.1634
-1:0.3283,0.7747,0.1077,0.4609,0.5319
+1:0.8314,0.8061,0.6253,0.3738,0.2200
-1:0.7964,0.0222,0.7717,0.9106,0.9357
+1:0.1176,0.6437,0.8369,0.7980,0.0509
-1:0.1899,0.4135,0.1222,0.4546,0.8570
+1:0.2695,0.5889,0.1517,0.2714,0.4206
-1:0.1092,0.6551,0.5397,0.5802,0.2175
+1:0.0576,0.0449,0.8305,0.3259,0.2465
-1:0.1008,0.5787,0.4114,0.4132,0.8324
+1:0.5961,0.3129,0.4798,0.7241,0.7717
-1:0.9609,0.2245,0.0756,0.3728,0.7132
+1:0.4213,0.5451,0.1850,0.9084,0.2563
-1:0.7721,0.0064,0.8567,0.1084,0.2930
+1:0.3787,0.9695,0.3825,0.7619,0.3247
-1:0.5973,0.3582,0.0454,0.8710,0.0828
+1:0.2140,0.4573,0.1800,0.1233,0.8586
-1:0.1871,0.6528,0.0884,0.9564,0.1007
+1:0.2835,0.8938,0.2445,0.7575,0.0596
-1:0.4302,0.8979,0.1711,0.3021,0.5145
+1:0.1549,0.3145,0.9935,0.2777,0.1319
-1:0.2038,0.8523,0.9267,0.9557,0.3151
+1:0.5974,0.9000,0.4910,0.0738,0.3706
-1:0.0513,0.8714,0.4091,0.0007,0.2853
+1:0.6619,0.2748,0.0500,0.3638,0.6202
-1:0.4466,0.6317,0.2071,0.2978,0.3155
+1:0.3524,0.4170,0.0314,0.4471,0.9719
-1:0.5706,0.7097,0.7723,0.0443,0.5410
+1:0.3259,0.9969,0.1439,0.1762,0.4954
-1:0.4555,0.7628,0.4587,0.0560,0.2166
+1:0.1174,0.2584,0.2067,0.7299,0.8101
-1:0.9008,0.4852,0.8490,0.5773,0.1765
+1:0.2705,0.5199,0.2946,0.4502,0.1381
-1:0.5972,0.3426,0.7298,0.7100,0.5509
+1:0.0455,0.1574,0.9736,0.8863,0.3391
-1:0.4005,0.5396,0.4531,0.6072,0.2135
+1:0.2723,0.7551,0.2870,0.1776,0.1486
-1:0.5649,0.2440,0.7477,0.7448,0.2020
+1:0.0842,0.8635,0.6963,0.4050,0.1500
-1:0.9374,0.6013,0.2016,0.0323,0.0228
+1:0.4350,0.1744,0.6799,0.6288,0.9966
-1:0.3649,0.1079,0.1691,0.0196,0.4020
